,circulating_supply,id,last_updated,max_supply,name,quotes.USD.market_cap,quotes.USD.percent_change_1h,quotes.USD.percent_change_24h,quotes.USD.percent_change_7d,quotes.USD.price,quotes.USD.volume_24h,rank,symbol,total_supply,website_slug
0,17094650.0,1,1529071172.0,21000000.0,Bitcoin,111959700710.0,0.19,1.23,-13.99,6549.4,4567370000.0,1,BTC,17094650.0,bitcoin
1,56990621.0,2,1529071442.0,84000000.0,Litecoin,5570833185.0,0.41,1.86,-18.17,97.75,346192000.0,6,LTC,56990621.0,litecoin
2,14736400.0,3,1529071442.0,,Namecoin,21287761.0,0.11,7.04,-15.26,1.44457,195628.0,295,NMC,14736400.0,namecoin
3,22935396.0,4,1529071442.0,42000000.0,Terracoin,2083034.0,0.14,-3.85,-14.53,0.0908218,5391.77,746,TRC,22935396.0,terracoin
4,24809977.0,5,1529071441.0,,Peercoin,40649410.0,0.17,4.02,-13.66,1.63843,525617.0,195,PPC,24809977.0,peercoin
5,2099342.0,6,1529071441.0,,Novacoin,5904547.0,-1.76,-0.9,-15.93,2.81257,8119.77,544,NVC,2099342.0,novacoin
6,203799800.0,8,1529071441.0,336000000.0,Feathercoin,17114496.0,0.65,-5.9,-26.1,0.083977,80952.1,334,FTC,203799800.0,feathercoin
7,4562437.0,9,1529071442.0,,Mincoin,98166.0,5.18,2.94,-15.0,0.0215161,881.756,979,MNC,4562437.0,mincoin
8,31082534.0,10,1529071442.0,,Freicoin,156221.0,0.14,-1.22,-32.15,0.00502599,45.702,1177,FRC,100000000.0,freicoin
9,21002083.0,13,1529071442.0,,Ixcoin,2062400.0,0.15,-2.99,-18.03,0.0981998,446.3,1025,IXC,21002083.0,ixcoin
10,37625.0,14,1529071443.0,,BitBar,314391.0,0.14,0.9,-27.67,8.35581,157.772,1117,BTB,37625.0,bitbar
11,119606941.0,16,1529071441.0,,WorldCoin,897812.0,0.16,5.0,-10.95,0.00750635,126.073,1048,WDC,119606941.0,worldcoin
12,29318928.0,18,1529071442.0,48166000.0,Digitalcoin,934772.0,5.05,6.02,-19.05,0.0318829,748.8,850,DGC,29318928.0,digitalcoin
13,41084520.0,25,1529071443.0,72245700.0,GoldCoin,3832849.0,-1.04,1.92,-37.35,0.0932918,5493.09,644,GLD,41084520.0,goldcoin
