Category: All categories

Week,Cryptocurrency: (Worldwide)
2017-06-18,14
2017-06-25,14
2017-07-02,11
2017-07-09,12
2017-07-16,12
2017-07-23,11
2017-07-30,11
2017-08-06,14
2017-08-13,17
2017-08-20,16
2017-08-27,19
2017-09-03,20
2017-09-10,17
2017-09-17,15
2017-09-24,14
2017-10-01,14
2017-10-08,15
2017-10-15,17
2017-10-22,16
2017-10-29,19
2017-11-05,20
2017-11-12,22
2017-11-19,25
2017-11-26,42
2017-12-03,59
2017-12-10,80
2017-12-17,94
2017-12-24,72
2017-12-31,100
2018-01-07,99
2018-01-14,90
2018-01-21,57
2018-01-28,56
2018-02-04,51
2018-02-11,36
2018-02-18,37
2018-02-25,28
2018-03-04,27
2018-03-11,27
2018-03-18,25
2018-03-25,23
2018-04-01,21
2018-04-08,21
2018-04-15,21
2018-04-22,22
2018-04-29,20
2018-05-06,19
2018-05-13,17
2018-05-20,17
2018-05-27,15
2018-06-03,14
2018-06-10,17
