Category: All categories

Week,Ethereum: (Worldwide)
2017-06-18,54
2017-06-25,53
2017-07-02,33
2017-07-09,40
2017-07-16,39
2017-07-23,26
2017-07-30,25
2017-08-06,30
2017-08-13,30
2017-08-20,27
2017-08-27,33
2017-09-03,30
2017-09-10,27
2017-09-17,22
2017-09-24,19
2017-10-01,17
2017-10-08,23
2017-10-15,27
2017-10-22,22
2017-10-29,27
2017-11-05,30
2017-11-12,27
2017-11-19,41
2017-11-26,64
2017-12-03,73
2017-12-10,96
2017-12-17,88
2017-12-24,58
2017-12-31,74
2018-01-07,100
2018-01-14,79
2018-01-21,47
2018-01-28,49
2018-02-04,44
2018-02-11,30
2018-02-18,28
2018-02-25,22
2018-03-04,23
2018-03-11,22
2018-03-18,21
2018-03-25,23
2018-04-01,18
2018-04-08,16
2018-04-15,17
2018-04-22,19
2018-04-29,20
2018-05-06,20
2018-05-13,16
2018-05-20,15
2018-05-27,14
2018-06-03,13
2018-06-10,15
